Product Name,Brand,Rating,Price
"(102)SYBA PCMCIA to PCI Convertor Card Ricoh Chipset Model SD-PCI-PCMType: PCI to PCMCIA CardOperating Systems Supported: Windows 98SE / ME / 2000 / XP/Vista/7Package Contents: PCI 1-ch CardBus host controller card
User's manualModel #: SD-PCI-PCMItem #: 9SIABU5CFH6854Return Policy: View Return Policy",Syba,$24.99 ,102
,,,
"Nippon Labs 50CP-C6-ST-1K-GY 1000 ft. Bare Copper 24AWG Cat6 Bulk Cable, Stranded Wire - GrayType: Network Ethernet CablesModel #: 50CP-C6-ST-1K-GYItem #: 9SIABU5C7E0576Return Policy: View Return Policy",Nippon Labs,$24.99 ,102
,,,
"(240)EVGA GeForce GTX 1060 SC GAMING, ACX 2.0 (Single Fan), 06G-P4-6163-KR, 6GB GDDR5, DX12 OSD Support (PXOC), Only 6.8 InchesCore Clock: 1607 MHzMax Resolution: 7680 x 4320DisplayPort: 3 x DisplayPort 1.4DVI: 1 x Dual-Link DVI-DModel #: 06G-P4-6163-KRReturn Policy: View Return Policy",EVGA,$559.00 ,240
,,,
"(81)MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER GAMING X 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video CardMax Resolution: 7680 x 4320DisplayPort: 3 x DisplayPort 1.4HDMI: 1 x HDMI 2.0bCard Dimensions (L x H): 9.72"" x 5.00""Model #: 1660SuperGamingXReturn Policy: View Return Policy",MSI,$389.99 ,81
,,,
"(134)EVGA GeForce GTX 1060 6GB SSC GAMING ACX 3.0, 6GB GDDR5, LED, DX12 OSD Support (PXOC), 06G-P4-6267-KRCore Clock: 1607 MHzMax Resolution: 7680 x 4320DisplayPort: 3 x DisplayPort 1.4DVI: 1 x Dual-Link DVI-DModel #: 06G-P4-6267-KRReturn Policy: View Return Policy",EVGA,$599.99 ,134
,,,
(2)ASUS Dual GeForce GTX 1650 DUAL-GTX1650-O4GD6-MINI 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video CardCore Clock: 1410 MHzMax Resolution: 7680 x 4320DisplayPort: 1 x DisplayPort 1.4DVI: 1 x DVI-DModel #: DUAL-GTX1650-O4GD6-MReturn Policy: View Return Policy,ASUS,$219.08 ,2
,,,
"(254)EVGA GeForce GTX 1080 SC GAMING ACX 3.0, 08G-P4-6183-KR, 8GB GDDR5X, LED, DX12 OSD Support (PXOC)Core Clock: 1708 MHzMax Resolution: 7680 x 4320DisplayPort: 3 x DisplayPort 1.4DVI: 1 x Dual-Link DVI-DModel #: 08G-P4-6183-KRReturn Policy: View Return Policy",EVGA,$779.00 ,254
,,,
"(48)GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TD5-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 Video CardsCore Clock: 1316 MHz in OC Mode
1290 MHz in GamingMax Resolution: 7680 x 4320DisplayPort: 1 x DisplayPort 1.4DVI: 1 x Dual-Link DVI-DModel #: GV-N105TD5-4GDItem #: N82E16814125916Return Policy: Extended Holiday Return Policy",GIGABYTE,$159.99 ,48
,,,
"(67)ASUS GeForce GTX 1070 STRIX-GTX1070-8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video CardCore Clock: 1531 MHz in OC mode
1506 MHz in Gaming modeMax Resolution: 7680 x 4320DisplayPort: 2 x DisplayPort 1.4DVI: 1 x Dual-link DVI-DModel #: STRIX-GTX1070-8G-GAMReturn Policy: View Return Policy",ASUS,$689.00 ,67
,,,
(135)GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SOC-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video CardCore Clock: 1830 MHzMax Resolution: 7680 x 4320 @ 60 HzDisplayPort: 3 x DisplayPort 1.4HDMI: 1 x HDMI 2.0bModel #: GV-N166SOC-6GDReturn Policy: View Return Policy,GIGABYTE,$435.90 ,135
,,,
"(75)GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SGAMING OC-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video CardLimited time offer, ends 11/30DisplayPort: 3 x DisplayPortHDMI: 1 x HDMICard Dimensions (L x H): 11.02"" x 4.57""Slot Width: Dual SlotModel #: GV-N166SGAMINGOC-6GDReturn Policy: View Return Policy",GIGABYTE,$469.99 ,75
,,,
"(182)EVGA GeForce GTX 1070 SC GAMING ACX 3.0 Black Edition, 08G-P4-5173-KR, 8GB GDDR5, LED, DX12 OSD Support (PXOC)Core Clock: 1594 MHzMax Resolution: 7680 x 4320DisplayPort: 3 x DisplayPort 1.4DVI: 1 x Dual-Link DVI-DModel #: 08G-P4-5173-KRReturn Policy: View Return Policy",EVGA,$689.00 ,182
,,,
(88)EVGA GeForce GTX 1080 Ti FE DirectX 12 11G-P4-6390-KR 11GB 352-Bit GDDR5X PCI Express 3.0 SLI Support FOUNDERS EDITION Video CardCore Clock: 1480 MHzMax Resolution: 7680 x 4320DisplayPort: 3 x DisplayPort 1.4HDMI: 1 x HDMI 2.0bModel #: 11G-P4-6390-KRReturn Policy: View Return Policy,EVGA,"$1,125.00 ",88
,,,
"(21)EVGA GeForce GTX 1070 Ti FTW2 GAMING 08G-P4-6775-KR, 8GB GDDR5 iCX - 9 Thermal Sensors & RGB LED G/P/MCore Clock: 1607+ MHzMax Resolution: 7680 x 4320DisplayPort: 3 x DisplayPort 1.4DVI: 1 x DL-DVI-DModel #: 08G-P4-6775-KRReturn Policy: View Return Policy",EVGA,$745.00 ,21
,,,
"(238)MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video CardMax Resolution: 7680 x 4320DisplayPort: 3 x DisplayPort 1.4HDMI: 1 x HDMI 2.0bCard Dimensions (L x H): 8.03"" x 5.04""Model #: 1660SuperVentusXSOCReturn Policy: View Return Policy",MSI,$440.99 ,238
,,,
"(419)EVGA SuperClocked 02G-P4-2765-KR G-SYNC Support GeForce GTX 760 2GB 256-bit GDDR5 PCI Express 3.0 SLI Support w/ EVGA ACX Cooler Video CardCore Clock: 1072 MHzMax Resolution: 4096 x 2160DisplayPort: 1 x DisplayPortDVI: 1 x DVI-I
1 x DVI-DModel #: 02G-P4-2765-KRReturn Policy: View Return Policy",EVGA,$299.00 ,419
,,,
"(268)EVGA GeForce GTX 1070 SC GAMING ACX 3.0, 08G-P4-6173-KR, 8GB GDDR5, LED, DX12 OSD Support (PXOC)Core Clock: 1594 MHzMax Resolution: 7680 x 4320DisplayPort: 3 x DisplayPort 1.4DVI: 1 x Dual-Link DVI-DModel #: 08G-P4-6173-KRReturn Policy: View Return Policy",EVGA,$689.00 ,268
,,,
"(82)EVGA GeForce GTX 1080 Ti SC2 GAMING, 11G-P4-6593-KR, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/MCore Clock: 1556 MHzMax Resolution: 7680 x 4320DisplayPort: 3 x DisplayPort 1.4DVI: 1 x Dual-Link DVI-DModel #: 11G-P4-6593-KRReturn Policy: View Return Policy",EVGA,"$1,125.00 ",82
,,,
"(15)ASUS Expedition GeForce GTX 1060 EX-GTX1060-O6G 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video CardCore Clock: OC Mode: 1594 MHz
Gaming Mode (Default): 1569 MHzMax Resolution: 7680 x 4320DisplayPort: 2 x DisplayPort 1.4DVI: 1 x DVI-DModel #: EX-GTX1060-O6GItem #: 9SIAGKCCAR4721Return Policy: View Return Policy",ASUS,$249.99 ,15
,,,
"(3)MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video CardCore Clock: OC Mode: 1316 MHz
Gaming Mode: 1303 MHz
Silent Mode: 1290 MHzMax Resolution: 7680 x 4320DisplayPort: 1 x DisplayPort 1.4DVI: 1 x DL DVI-DModel #: GTX1050 Ti GAMING 4GReturn Policy: View Return Policy",MSI,$223.50 ,3
,,,
"(477)ASUS GeForce GTX 970 STRIX-GTX970-DC2OC-4GD5 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support G-SYNC Support Video CardCore Clock: 1114 MHzMax Resolution: 4096 x 2160DisplayPort: 1 x DisplayPortDVI: 1 x DVI-I
1 x DVI-DModel #: STRIXGTX970DC2OC4GD5Return Policy: View Return Policy",ASUS,$449.00 ,477
,,,
"(418)EVGA GeForce GTX 970 04G-P4-2974-KR 4GB SC GAMING w/ACX 2.0, Silent Cooling Graphics CardCore Clock: 1165 MHzMax Resolution: Analog: 2048 x 1536
Digital: 4096 x 2160DisplayPort: 1 x DisplayPort 1.2DVI: 1 x Dual-link DVI-I
1 x Dual-link DVI-DModel #: 04G-P4-2974-KRReturn Policy: View Return Policy",EVGA,$445.00 ,418
,,,
"(67)ASUS Dual GeForce GTX 1070 DirectX 12 DUAL-GTX1070-O8G 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video CardCore Clock: OC Mode: 1607 MHz
Gaming Mode (Default): 1582 MHzMax Resolution: 7680 x 4320DisplayPort: 2 x DisplayPort 1.4DVI: 1 x DVI-DModel #: DUAL-GTX1070-O8GReturn Policy: View Return Policy",ASUS,$649.00 ,67
,,,
"(39)EVGA GeForce GTX 1650 SUPER SC ULTRA GAMING Video Card, 04G-P4-1357-KR, 4GB GDDR6, Dual Fan, Metal BackplateMax Resolution: 7680 x 4320DisplayPort: 1 x DisplayPort 1.4DVI: 1 x Dual-Link DVI-DHDMI: 1 x HDMI 2.0bModel #: 04G-P4-1357-KRReturn Policy: View Return Policy",EVGA,$449.00 ,39
